Dataset,Model,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1,Method
HDC,CatBoost,5,0.9979202117602571,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,SMOTENC
HDC,Extra Trees,1,0.99002849002849,0.957345971563981,0.9560778727445394,0.9689922480620154,0.9615384615384616,0.9652509652509652,SMOTENC
HDC,Extra Trees,2,0.9879392212725546,0.9383886255924171,0.945346628679962,0.9834710743801653,0.9153846153846154,0.9482071713147411,SMOTENC
HDC,Extra Trees,3,0.9721272554605889,0.919431279620853,0.9229819563152897,0.959349593495935,0.9076923076923077,0.932806324110672,SMOTENC
HDC,Extra Trees,4,0.982652675363963,0.9289099526066351,0.9285309132161089,0.9523809523809523,0.9302325581395349,0.9411764705882353,SMOTENC
HDC,Extra Trees,5,0.977547740593685,0.9241706161137441,0.9202117602571375,0.937984496124031,0.937984496124031,0.937984496124031,SMOTENC
Cleveland,Gradient Boosting,1,0.8862876254180602,0.8163265306122449,0.8193979933110368,0.7692307692307693,0.8695652173913043,0.8163265306122449,SMOTENC
Cleveland,Gradient Boosting,2,0.8097643097643097,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75,SMOTENC
Cleveland,Gradient Boosting,3,0.8618881118881119,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279,SMOTENC
Cleveland,Gradient Boosting,4,0.8723776223776223,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174,SMOTENC
Cleveland,Gradient Boosting,5,0.8653846153846154,0.8333333333333334,0.8356643356643356,0.7916666666666666,0.8636363636363636,0.8260869565217391,SMOTENC
Cleveland,XGBoost,1,0.8929765886287625,0.7755102040816326,0.7784280936454849,0.7307692307692307,0.8260869565217391,0.7755102040816326,SMOTENC
Cleveland,XGBoost,2,0.82996632996633,0.7551020408163265,0.7441077441077442,0.7777777777777778,0.6363636363636364,0.7,SMOTENC
Cleveland,XGBoost,3,0.8671328671328671,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174,SMOTENC
Cleveland,XGBoost,4,0.9055944055944055,0.8125,0.8129370629370629,0.782608695652174,0.8181818181818182,0.8,SMOTENC
Cleveland,XGBoost,5,0.8531468531468531,0.8125,0.8094405594405594,0.8095238095238095,0.7727272727272727,0.7906976744186046,SMOTENC
Cleveland,CatBoost,1,0.8979933110367893,0.7959183673469388,0.8001672240802675,0.7407407407407407,0.8695652173913043,0.8,SMOTENC
Cleveland,CatBoost,2,0.8451178451178452,0.8163265306122449,0.8038720538720538,0.8823529411764706,0.6818181818181818,0.7692307692307693,SMOTENC
Cleveland,CatBoost,3,0.8426573426573426,0.75,0.7482517482517483,0.7272727272727273,0.7272727272727273,0.7272727272727273,SMOTENC
Cleveland,CatBoost,4,0.9055944055944056,0.8333333333333334,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8181818181818182,SMOTENC
Cleveland,CatBoost,5,0.8706293706293707,0.8333333333333334,0.8286713286713286,0.85,0.7727272727272727,0.8095238095238095,SMOTENC
